AL032669	2L52
Z92833	F38A6
Z50045	F38B2
U40060	F38B6
Z74033	F38B7
Z82267	F38C2
U41996	F38E1
U46668	F38E9
Z68342	F38E11
AC006635	F38G1
Z77660	F38H4
AF016436	F38H12
Z69660	F39B1
Z92834	F39B2
U67952	F39B3
AF039043	F39C12
Z69791	F39D8
AF024501	F39E9
U58743	F39F10
AF016424	F39G3
Z81080	F39H2
Z81079	F39H11
U42847	F39H12
AF016423	F40A3
AF077532	F40B1
U23182	F40B5
AC006636	F40C5
Z81536	F40D4
U97406	F40E3
Z69792	F40E10
AF016659	F40E12
U40420	F40F4
Z69302	F40F8
Z70753	F40F9
Z73426	F40F11
Z30215	F40F12
AF099919	F40G9
Z77661	F40G12
AF098987	F40H3
U21310	F40H6
AF024498	F40H7
AF067610	F41A4
AC006637	F41B4
AF016676	F41B5
U23521	F41C3
U39745	F41C6
Z81537	F41D3
U67954	F41D9
AF016448	F41E6
Z68106	F41E7
U55366	F41F3
U39999	F41G3
AC006638	F41G4
AF101307	F41H8
U61954	F41H10
AF038613	F42A6
Z47809	F42A8
U61952	F42A9
U10414	F42A10
U40799	F42C5
Z81081	F42D1
Z78014	F42E8
Z66562	F42E11
Z68116	F42F12
AF024499	F42G2
Z81082	F42G4
AF038618	F42G8
U00051	F42G9
Z48230	F42G10
L08403	F42H10
Z83225	F42H11
Z74034	F43A11
AF098500	F43B10
Z46937	F43C1
U40427	F43C9
AC017117	F43C11
Z83226	F43D2
Z35640	F43D9
AF000264	F43E2
U64607	F43E12
Z50070	F43G6
Z79755	F43G9
U50307	F43H9
U41993	F44A2
Z50858	F44A6
L23648	F44B9
U50313	F44C4
AF016438	F44C8
Z68298	F44D12
L23646	F44E2
Z83108	F44E5
AF016421	F44E7
U41008	F44E8
Z81083	F44F1
Z37092	F44F4
Z83109	F44G3
Z49910	F44G4
Z83227	F45B8
AF016684	F45C12
Z78063	F45D3
AC006641	F45D11
U28732	F45E1
U70852	F45E4
Z68117	F45E6
Z47810	F45E10
U29536	F45E12
U64845	F45F2
Z93382	F45G2
Z34800	F45H7
Z81538	F45H10
Z78420	F45H11
Z81539	F46A8
Z81084	F46A9
Z81540	F46B3
Z70780	F46B6
U40949	F46B7
Z66563	F46C3
Z54281	F46C5
U41624	F46C8
AF125955	F46E10
Z69903	F46F2
Z81085	F46F3
AF106577	F46F5
Z50028	F46F6
U88173	F46F11
Z50177	F46G10
U40412	F46G11
U41543	F46H5
U40426	F46H6
Z49888	F47A4
U97017	F47B3
U39646	F47B7
Z77662	F47B8
Z68004	F47B10
Z79599	F47C8
U97003	F47C10
U61946	F47C12
U64846	F47D2
U22831	F47D12
U39993	F47E1
U40943	F47F2
U80838	F47F6
U41029	F47G3
Z99171	F47G4
AF098989	F47G6
Z74035	F47G9
Z92786	F47H4
U97408	F48A9
AF026210	F48A11
U40955	F48B9
U97015	F48C1
Z68107	F48C5
Z80789	F48C11
U58732	F48D6
U28735	F48E3
U23514	F48E8
Z81541	F48F5
Z69661	F48F7
AF039044	F48G7
Z81542	F49A5
Z81543	F49B2
Z81544	F49C5
Z92787	F49C8
Z68227	F49C12
AF039711	F49D11
AF039711	F49D11
Z46267	F49E2
U64604	F49E7
U61949	F49E8
U53341	F49E10
Z70308	F49E11
Z66520	F49E12
AF100656	F49F1
Z81545	F49H6
AC006642	F49H12
Z71263	F52A8
Z75541	F52B5
U41990	F52B10
Z82268	F52B11
AF040645	F52C6
U39850	F52C9
AF100657	F52C12
AF026208	F52D1
AF106573	F52D2
Z80218	F52D4
Z66564	F52D10
U41109	F52E1
U56964	F52E4
Z54282	F52E10
AF101316	F52F10
Z83228	F52F12
Z82269	F52G2
AF026212	F52G3
AF026214	F52H2
Z66512	F52H3
Z81546	F53A2
AF025460	F53A3
U23523	F53A9
AF016660	F53A10
U40953	F53B1
Z73908	F53B2
U40414	F53B3
Z81086	F53B6
Z72510	F53B7
Z92788	F53B8
AF098992	F53C3
Z79756	F53C11
AF125953	F53E2
Z81087	F53E4
U88177	F53E10
Z81088	F53F1
Z77663	F53F4
Z81547	F53F8
U97191	F53F10
AF025464	F53G2
AF003139	F53G12
AF045641	F53H1
Z82270	F53H2
Z81089	F53H4
U41023	F53H8
Z77664	F53H10
AC024136	F54A3
AF106584	F54A5
Z48583	F54B3
Z93383	F54B8
Z70208	F54B11
U88165	F54C1
AF099916	F54C4
Z22178	F54C8
Z49967	F54C9
Z77132	F54D1
Z66513	F54D5
AF039712	F54D7
U12966	F54D8
AF099917	F54D10
U64834	F54D11
AF040647	F54D12
AF106579	F54E2
Z79639	F54E4
U00067	F54E7
Z82271	F54E12
L23645	F54F2
Z79696	F54F3
Z67755	F54F7
Z83229	F54F11
Z81548	F54F12
AF077533	F54G2
Z19155	F54G8
U80952	F54H5
L25599	F54H12
